#{"t_start": 1582659054.1616294, "env_id": "nailbot-v0"}
r,l,t
16.989878,11,1013.285727
16.517021,11,1014.319882
13.755756,11,1015.295519
16.471404,11,1016.279264
16.695995,11,1017.23463
21.015402,11,1018.194439
18.538688,11,1019.251397
29.656364,11,1020.225985
11.900247,11,1021.185002
13.204098,11,1022.098705
29.177096,11,1023.114938
19.27799,11,1024.151327
24.18366,11,1025.169493
38.247443,11,1026.172972
14.99894,11,1027.176378
12.235346,11,1028.223223
29.301721,11,1029.190914
28.122624,11,1030.283006
17.444795,11,1031.438193
15.148875,11,1032.365915
27.264273,11,1033.305857
30.837889,11,1034.443188
19.830204,11,1035.504672
12.950848,11,1036.439937
26.158941,11,1037.419451
11.191004,11,1038.356769
21.829829,11,1039.375046
33.893429,11,1040.368456
27.924211,11,1041.385848
12.707266,11,1042.354336
14.672605,11,1043.331705
14.298404,11,1044.283967
23.727334,11,1045.220592
33.30307,11,1046.207719
10.553602,11,1047.130774
16.638945,11,1048.215223
36.411138,11,1049.228239
13.65457,11,1050.160204
14.448653,11,1051.029475
26.628226,11,1052.053145
19.753059,11,1053.07789
14.447365,11,1054.067051
14.119793,11,1055.251367
18.774312,11,1056.23898
15.897833,11,1057.28313
15.278253,11,1058.285669
13.462573,11,1059.412554
21.468778,11,1060.595336
27.45316,11,1061.689109
13.832356,11,1062.676282
13.533271,11,1063.650613
11.062636,11,1064.563607
13.749491,11,1065.509883
21.627454,11,1066.528119
37.53863,11,1067.617291
14.597338,11,1068.6973
11.159714,11,1069.769658
26.099024,11,1070.829413
20.950989,11,1071.926915
21.659468,11,1072.880238
15.829655,11,1073.846747
13.697246,11,1074.740592
35.080674,11,1075.830086
30.109198,11,1076.957798
16.39765,11,1077.916101
27.275562,11,1079.178838
18.037084,11,1080.185039
15.680773,11,1081.146024
12.302958,11,1082.130572
31.7227,11,1083.187512
26.339078,11,1084.218298
30.808604,11,1085.282799
12.695027,11,1086.159896
18.29735,11,1087.059471
12.396214,11,1088.074213
22.107531,11,1089.039653
20.562488,11,1089.996636
13.606134,11,1090.928507
14.88255,11,1091.857614
17.744928,11,1092.830236
15.617096,11,1093.780517
37.136995,11,1094.758586
17.153292,11,1095.699506
14.153613,11,1096.663673
35.190311,11,1097.7293
18.621687,11,1098.709847
13.32222,11,1099.882277
19.346512,11,1100.983301
16.474454,11,1102.060918
